runs,opponent,ground,date,match,Match_No,total
68,Australia,Mohali,2013-10-19,ODI,161,6566
115,Australia,Nagpur,2013-10-30,ODI,162,6681
0,Australia,Bengaluru,2013-11-02,ODI,163,6681
3,WestIndies,Kolkata,2013-11-06,Test,164,6684
57,WestIndies,Wankhede,2013-11-14,Test,165,6741
86,WestIndies,Kochi,2013-11-21,ODI,166,6827
99,WestIndies,Visakhapatnam,2013-11-24,ODI,167,6926
19,WestIndies,Kanpur,2013-11-27,ODI,168,6945
31,SouthAfrica,Johannesburg,2013-12-05,ODI,169,6976
0,SouthAfrica,Durban,2013-12-08,ODI,170,6976
119,SouthAfrica,Johannesburg,2013-12-18,Test,171,7095
96,SouthAfrica,Johannesburg,2013-12-18,Test,172,7191
46,SouthAfrica,Durban,2013-12-26,Test,173,7237
11,SouthAfrica,Durban,2013-12-26,Test,174,7248
123,NewZealand,Napier,2014-01-19,ODI,175,7371
78,NewZealand,Hamilton,2014-01-22,ODI,176,7449
6,NewZealand,Auckland,2014-01-25,ODI,177,7455
2,NewZealand,Hamilton,2014-01-28,ODI,178,7457
82,NewZealand,Wellington,2014-01-31,ODI,179,7539
4,NewZealand,Auckland,2014-02-06,Test,180,7543
67,NewZealand,Auckland,2014-02-06,Test,181,7610
38,NewZealand,Wellington,2014-02-14,Test,182,7648
105,NewZealand,Wellington,2014-02-14,Test,183,7753
136,Bangladesh,Fatullah,2014-02-26,ODI,184,7889
48,SriLanka,Fatullah,2014-02-28,ODI,185,7937
5,Pakistan,Mirpur,2014-03-02,ODI,186,7942
36,Pakistan,Mirpur,2014-03-21,T20,187,7978
54,WestIndies,Mirpur,2014-03-23,T20,188,8032
57,Bangladesh,Mirpur,2014-03-28,T20,189,8089
23,Australia,Mirpur,2014-03-30,T20,190,8112
72,SouthAfrica,Mirpur,2014-04-04,T20,191,8184
77,SriLanka,Mirpur,2014-04-06,T20,192,8261
1,England,Nottingham,2014-07-09,Test,193,8262
8,England,Nottingham,2014-07-09,Test,194,8270
25,England,Lord's,2014-07-17,Test,195,8295
0,England,Lord's,2014-07-17,Test,196,8295
39,England,Southampton,2014-07-27,Test,197,8334
28,England,Southampton,2014-07-27,Test,198,8362
0,England,Manchester,2014-08-07,Test,199,8362
7,England,Manchester,2014-08-07,Test,200,8369
6,England,TheOval,2014-08-15,Test,201,8375
20,England,TheOval,2014-08-15,Test,202,8395
0,England,Cardiff,2014-08-27,ODI,203,8395
40,England,Nottingham,2014-08-30,ODI,204,8435
1,England,Birmingham,2014-09-02,ODI,205,8436
13,England,Leeds,2014-09-05,ODI,206,8449
66,England,Birmingham,2014-09-07,T20,207,8515
2,WestIndies,Kochi,2014-10-08,ODI,208,8517
62,WestIndies,Delhi,2014-10-11,ODI,209,8579
127,WestIndies,Dharamsala,2014-10-17,ODI,210,8706
22,SriLanka,Cuttack,2014-11-02,ODI,211,8728
49,SriLanka,Ahmedabad,2014-11-06,ODI,212,8777
53,SriLanka,Hyderabad(Deccan),2014-11-09,ODI,213,8830
66,SriLanka,Kolkata,2014-11-13,ODI,214,8896
139,SriLanka,Ranchi,2014-11-16,ODI,215,9035
